,,SOLFEGE GAMES,,,,Rightmost columns are reminders of updates needed to individual games,,,Game Updates Needed,,,,,,,,
,01150,GAM-,1770-3,QUIZ,Low Middle High ,"Identify keys that are low, middle and high on the keyboard",,1770,X,,,,,,L,,
,03150,GAM-,1770-5,REVIEW,Low Middle High ,"Identify keys that are low, middle and high on the keyboard",,1770,X,,,,,,L,,
,00750,GAM-,3850-1,LEARN,Tommy Tiger's 2's & 3's,Identify the groups of 2 and 3 black keys on the keyboard,,3850,X,,R,,,,L,,
,00800,GAM-,3850-2,PLAY,Tommy Tiger's 2's & 3's,Identify the groups of 2 and 3 black keys on the keyboard,,3850,X,,R,,,,L,,
,00850,GAM-,3850-3,QUIZ,Tommy Tiger's 2's & 3's,Identify the groups of 2 and 3 black keys on the keyboard,,3850,X,,R,,,,L,,
,,,,,,,,,,,,,,,,,
LIST 2,"Levels:  Primary, 1, 2",,,,"Levels:  Primary, 1, 2","Levels:  Primary, 1, 2",,,X,,,,,,L,,
,45450,GAM-,0010-1,LEARN,60 Second Club 1,Rapidly read & play grand staff white notes on the on-screen keyboard - timed.,,10,X,,R,,,,L,,
,45300,GAM-,0020-1,LEARN,60 Second Club 1 S,Rapidly read & play grand staff white notes on the on-screen keyboard - timed.,,20,X,,R,,,,L,,
,45500,GAM-,0010-2,PLAY,60 Second Club 1,Rapidly read & play grand staff white notes on the on-screen keyboard - timed.,,10,X,,R,,,,L,,
,45550,GAM-,0010-3,QUIZ,60 Second Club 1,Rapidly read & play grand staff white notes on the on-screen keyboard - timed.,,10,X,,R,,,,L,,
,46650,GAM-,0010-5,REVIEW,60 Second Club 1,Rapidly read & play grand staff white notes on the on-screen keyboard - timed.,,10,X,,R,,,,L,,
,45555,GAM-,0010-4,CHALLENGE,60 Second Club 1,Rapidly read & play grand staff white notes on the on-screen keyboard - timed.,,10,X,,R,,,,L,,
,51300,GAM-,0030-1,LEARN,60 Second Club 2,Rapidly read & play grand staff # and b notes on the on-screen keyboard-timed,,30,X,,R,,,,L,,
,51150,GAM-,0040-1,LEARN,60 Second Club 2 S,Rapidly read & play grand staff # and b notes on the on-screen keyboard-timed,,40,X,,R,,,,L,,
,51350,GAM-,0030-2,PLAY,60 Second Club 2,Rapidly read & play grand staff # and b notes on the on-screen keyboard-timed,,30,X,,R,,,,L,,
,51400,GAM-,0030-3,QUIZ,60 Second Club 2,Rapidly read & play grand staff # and b notes on the on-screen keyboard-timed,,30,X,,R,,,,L,,
,51450,GAM-,0030-4,CHALLENGE,60 Second Club 2,Rapidly read & play grand staff # and b notes on the on-screen keyboard-timed,,30,X,,R,,,,L,,
,52950,GAM-,0030-5,REVIEW,60 Second Club 2,Rapidly read & play grand staff # and b notes on the on-screen keyboard-timed,,30,X,,R,,,,L,,
,55900,GAM-,0050-1,LEARN,60 Second Club 3,Rapidly read & play all grand staff notes--white and black--on the onscreen keyboard-timed,,50,X,,,,,,L,,
,55950,GAM-,0050-2,PLAY,60 Second Club 3,Rapidly read & play all grand staff notes--white and black--on the onscreen keyboard-timed,,50,X,,,,,,L,,
,56000,GAM-,0050-3,QUIZ,60 Second Club 3,Rapidly read & play all grand staff notes--white and black--on the onscreen keyboard-timed,,50,X,,,,,,L,,
,56050,GAM-,0050-4,CHALLENGE,60 Second Club 3,Rapidly read & play all grand staff notes--white and black--on the onscreen keyboard-timed,,50,X,,,,,,L,,
,61600,GAM-,0050-5,REVIEW,60 Second Club 3,Rapidly read & play all grand staff notes--white and black--on the onscreen keyboard-timed,,50,X,,,,,,L,,
,78550,GAM-,0060-1,LEARN,60 Second Club 4,Rapidly read & play all grand staff notes-with key signatures--on the onscreen keyboard-timed,,60,X,,,,,,L,,
,78600,GAM-,0060-2,PLAY,60 Second Club 4,Rapidly read & play all grand staff notes-with key signatures--on the onscreen keyboard-timed,,60,X,,,,,,L,,
,78650,GAM-,0060-3,QUIZ,60 Second Club 4,Rapidly read & play all grand staff notes-with key signatures--on the onscreen keyboard-timed,,60,X,,,,,,L,,
,78700,GAM-,0060-4,CHALLENGE,60 Second Club 4,Rapidly read & play all grand staff notes-with key signatures--on the onscreen keyboard-timed,,60,X,,,,,,L,,
,79450,GAM-,0060-5,REVIEW,60 Second Club 4,Rapidly read & play all grand staff notes-with key signatures--on the onscreen keyboard-timed,,60,X,,,,,,L,,
,02850,GAM-,0070-1,LEARN,Alpha Order Down,Name missing letters in the descending music alphabet,,70,X,,,,,,L,,
,02900,GAM-,0070-2,PLAY,Alpha Order Down,Name missing letters in the descending music alphabet,,70,X,,,,,,L,,
,02950,GAM-,0070-3,QUIZ,Alpha Order Down,Name missing letters in the descending music alphabet,,70,X,,,,,,L,,
,02700,GAM-,0080-1,LEARN,Alpha Order Up,Name missing letters in the ascending music alphabet,,80,X,,,,,,L,,
,02750,GAM-,0080-2,PLAY,Alpha Order Up,Name missing letters in the ascending music alphabet,,80,X,,,,,,L,,
,02800,GAM-,0080-3,QUIZ,Alpha Order Up,Name missing letters in the ascending music alphabet,,80,X,,,,,,L,,
,05650,GAM-,0090-1,LEARN,Alpha Steps & Skips 1,Name the letters of the musical alphabet that make steps up & down,,90,T,,,,,,L,,
,05700,GAM-,0090-2,PLAY,Alpha Steps & Skips 1,Name the letters of the musical alphabet that make steps up & down,,90,T,,,,,,L,,
,05750,GAM-,0090-3,QUIZ,Alpha Steps & Skips 1,Name the letters of the musical alphabet that make steps up & down,,90,T,,,,,,L,,
,07900,GAM-,0090-5,REVIEW,Alpha Steps & Skips 1,Name the letters of the musical alphabet that make steps up & down,,90,T,,,,,,L,,
,08050,GAM-,0100-1,LEARN,Alpha Steps & Skips 2,Name the letters of the musical alphabet that make skips up & down,,100,T,,,,,,L,,
,08100,GAM-,0100-2,PLAY,Alpha Steps & Skips 2,Name the letters of the musical alphabet that make skips up & down,,100,T,,,,,,L,,
,08150,GAM-,0100-3,QUIZ,Alpha Steps & Skips 2,Name the letters of the musical alphabet that make skips up & down,,100,T,,,,,,L,,
,09250,GAM-,0110-1,LEARN,Alpha Steps & Skips 3,Name the letters of the musical alphabet that make steps and skips up & down,,110,T,,,,,,L,,
,09300,GAM-,0110-2,PLAY,Alpha Steps & Skips 3,Name the letters of the musical alphabet that make steps and skips up & down,,110,T,,,,,,L,,
,09350,GAM-,0110-3,QUIZ,Alpha Steps & Skips 3,Name the letters of the musical alphabet that make steps and skips up & down,,110,T,,,,,,L,,
,12900,GAM-,0110-1,LEARN,Alpha Steps & Skips 3,Name the letters of the musical alphabet that make steps and skips up & down,,110,T,,,,,,L,,
,12950,GAM-,0110-2,PLAY,Alpha Steps & Skips 3,Name the letters of the musical alphabet that make steps and skips up & down,,110,T,,,,,,L,,
,13000,GAM-,0110-3,QUIZ,Alpha Steps & Skips 3,Name the letters of the musical alphabet that make steps and skips up & down,,110,T,,,,,,L,,
,25700,GAM-,0120-1,LEARN,Beat the Clock - Intervals 1,"Given the first note, play half steps up & down on the onscreen keyboard",,120,T,,,,,,L,,
,25750,GAM-,0120-2,PLAY,Beat the Clock - Intervals 1,"Given the first note, play half steps up & down on the onscreen keyboard",,120,T,,,,,,L,,
,25800,GAM-,0120-3,QUIZ,Beat the Clock - Intervals 1,"Given the first note, play half steps up & down on the onscreen keyboard",,120,T,,,,,,L,,
,29250,GAM-,0120-5,REVIEW,Beat the Clock - Intervals 1,"Given the first note, play half steps up & down on the onscreen keyboard",,120,T,,,,,,L,,
,41150,GAM-,0140-1,LEARN,Beat the Clock - Intervals 2,"Given the first note, play half steps and whole steps on the onscreen keyboard",,140,T,,,,,,L,,
,41200,GAM-,0140-2,PLAY,Beat the Clock - Intervals 2,"Given the first note, play half steps and whole steps on the onscreen keyboard",,140,T,,,,,,L,,
,41250,GAM-,0140-3,QUIZ,Beat the Clock - Intervals 2,"Given the first note, play half steps and whole steps on the onscreen keyboard",,140,T,,,,,,L,,
,43000,GAM-,0140-5,REVIEW,Beat the Clock - Intervals 2,"Given the first note, play half steps and whole steps on the onscreen keyboard",,140,T,,,,,,L,,
,27800,GAM-,0160-1,LEARN,MIDI Beat the Clock - Pentascales 1,"Play C, G, D and A Major pentascales on the MIDI keyboard",,160,T,M,,,,,L,,
,27850,GAM-,0160-2,PLAY,MIDI Beat the Clock - Pentascales 1,"Play C, G, D and A Major pentascales on the MIDI keyboard",,160,T,M,,,,,L,,
,29450,GAM-,0160-5,REVIEW,MIDI Beat the Clock - Pentascales 1,"Play C, G, D and A Major pentascales on the MIDI keyboard",,160,T,M,,,,,L,,
,41700,GAM-,0160-1,LEARN,MIDI Beat the Clock - Pentascales 1,"Play C, G, D and A Major pentascales on the MIDI keyboard",,160,T,M,,,,,L,,
,41750,GAM-,0160-2,PLAY,MIDI Beat the Clock - Pentascales 1,"Play C, G, D and A Major pentascales on the MIDI keyboard",,160,T,M,,,,,L,,
,41800,GAM-,0160-3,QUIZ,MIDI Beat the Clock - Pentascales 1,"Play C, G, D and A Major pentascales on the MIDI keyboard",,160,T,M,,,,,L,,
,43400,GAM-,0160-5,REVIEW,MIDI Beat the Clock - Pentascales 1,"Play C, G, D and A Major pentascales on the MIDI keyboard",,160,T,M,,,,,L,,
,45000,GAM-,0170-1,LEARN,MIDI Beat the Clock - Pentascales 2,"Play C, G, D, A, F and E  Major pentascales on the MIDI keyboard",,170,T,M,,,,,L,,
,45050,GAM-,0170-2,PLAY,MIDI Beat the Clock - Pentascales 2,"Play C, G, D, A, F and E  Major pentascales on the MIDI keyboard",,170,T,M,,,,,L,,
,45100,GAM-,0170-3,QUIZ,MIDI Beat the Clock - Pentascales 2,"Play C, G, D, A, F and E  Major pentascales on the MIDI keyboard",,170,T,M,,,,,L,,
,46250,GAM-,0170-5,REVIEW,MIDI Beat the Clock - Pentascales 2,"Play C, G, D, A, F and E  Major pentascales on the MIDI keyboard",,170,T,M,,,,,L,,
,28550,GAM-,0180-1,LEARN,Beat the Clock - Triads 1,"Play triads on the onscreen keyboard: C, G and F Major",,180,T,,,,,,L,,
,28600,GAM-,0180-2,PLAY,Beat the Clock - Triads 1,"Play triads on the onscreen keyboard: C, G and F Major",,180,T,,,,,,L,,
,28650,GAM-,0180-3,QUIZ,Beat the Clock - Triads 1,"Play triads on the onscreen keyboard: C, G and F Major",,180,T,,,,,,L,,
,30000,GAM-,0180-5,REVIEW,Beat the Clock - Triads 1,"Play triads on the onscreen keyboard: C, G and F Major",,180,T,,,,,,L,,
,39400,GAM-,0200-1,LEARN,Beat the Clock - Triads 2,"Play triads on the onscreen keyboard: D, E and A Major",,200,T,,,,,,L,,
,39450,GAM-,0200-2,PLAY,Beat the Clock - Triads 2,"Play triads on the onscreen keyboard: D, E and A Major",,200,T,,,,,,L,,
,39500,GAM-,0200-3,QUIZ,Beat the Clock - Triads 2,"Play triads on the onscreen keyboard: D, E and A Major",,200,T,,,,,,L,,
,42050,GAM-,0200-5,REVIEW,Beat the Clock - Triads 2,"Play triads on the onscreen keyboard: D, E and A Major",,200,T,,,,,,L,,
,43600,GAM-,0220-1,LEARN,Beat the Clock - Triads 3,"Play triads on the onscreen keyboard: c, g and f minor",,220,T,,,,,,L,,
,43650,GAM-,0220-2,PLAY,Beat the Clock - Triads 3,"Play triads on the onscreen keyboard: c, g and f minor",,220,T,,,,,,L,,
,43700,GAM-,0220-3,QUIZ,Beat the Clock - Triads 3,"Play triads on the onscreen keyboard: c, g and f minor",,220,T,,,,,,L,,
,46850,GAM-,0220-5,REVIEW,Beat the Clock - Triads 3,"Play triads on the onscreen keyboard: c, g and f minor",,220,T,,,,,,L,,
,44300,GAM-,0240-1,LEARN,Beat the Clock - Triads 4,"Play triads on the onscreen keyboard: d, e and a minor",,240,T,,,,,,L,,
,44350,GAM-,0240-2,PLAY,Beat the Clock - Triads 4,"Play triads on the onscreen keyboard: d, e and a minor",,240,T,,,,,,L,,
,44400,GAM-,0240-3,QUIZ,Beat the Clock - Triads 4,"Play triads on the onscreen keyboard: d, e and a minor",,240,T,,,,,,L,,
,61650,GAM-,0260-1,LEARN,Beat the Clock - Triads 5,Play C-G-F-D-A-E-B Major triads on the on-screen keyboard,,260,T,,,,,,L,,
,61700,GAM-,0260-2,PLAY,Beat the Clock - Triads 5,Play C-G-F-D-A-E-B Major triads on the on-screen keyboard,,260,T,,,,,,L,,
,61750,GAM-,0260-3,QUIZ,Beat the Clock - Triads 5,Play C-G-F-D-A-E-B Major triads on the on-screen keyboard,,260,T,,,,,,L,,
,28100,GAM-,0270-1,LEARN,Bumble Keys 1,Read and play the notes of the treble staff on the onscreen keyboard,,270,T,,,,,,L,,
,28150,GAM-,0270-2,PLAY,Bumble Keys 1,Read and play the notes of the treble staff on the onscreen keyboard,,270,T,,,,,,L,,
,28200,GAM-,0270-3,QUIZ,Bumble Keys 1,Read and play the notes of the treble staff on the onscreen keyboard,,270,T,,,,,,L,,
,28250,GAM-,0270-4,CHALLENGE,Bumble Keys 1,Read and play the notes of the treble staff on the onscreen keyboard,,270,T,,,,,,L,,
,29300,GAM-,0270-5,REVIEW,Bumble Keys 1,Read and play the notes of the treble staff on the onscreen keyboard,,270,T,,,,,,L,,
,28100,GAM-,0280-1,LEARN,Bumble Keys 1 S,Read and play the notes of the treble staff on the onscreen keyboard,,280,T,,,,,,L,,
,28150,GAM-,0280-2,PLAY,Bumble Keys 1 S,Read and play the notes of the treble staff on the onscreen keyboard,,280,T,,,,,,L,,
,28200,GAM-,0280-3,QUIZ,Bumble Keys 1 S,Read and play the notes of the treble staff on the onscreen keyboard,,280,T,,,,,,L,,
,28250,GAM-,0280-4,CHALLENGE,Bumble Keys 1 S,Read and play the notes of the treble staff on the onscreen keyboard,,280,T,,,,,,L,,
,29300,GAM-,0280-5,REVIEW,Bumble Keys 1 S,Read and play the notes of the treble staff on the onscreen keyboard,,280,T,,,,,,L,,
,28850,GAM-,0300-1,LEARN,Bumble Keys 2,Read and play the notes of the bass staff on the onscreen keyboard,,300,T,,,,,,L,,
,28900,GAM-,0300-2,PLAY,Bumble Keys 2,Read and play the notes of the bass staff on the onscreen keyboard,,300,T,,,,,,L,,
,28950,GAM-,0300-3,QUIZ,Bumble Keys 2,Read and play the notes of the bass staff on the onscreen keyboard,,300,T,,,,,,L,,
,29000,GAM-,0300-4,CHALLENGE,Bumble Keys 2,Read and play the notes of the bass staff on the onscreen keyboard,,300,T,,,,,,L,,
,29350,GAM-,0300-5,REVIEW,Bumble Keys 2,Read and play the notes of the bass staff on the onscreen keyboard,,300,T,,,,,,L,,
,28850,GAM-,0310-1,LEARN,Bumble Keys 2 S,Read and play the notes of the bass staff on the onscreen keyboard,,310,T,,,,,,L,,
,28900,GAM-,0310-2,PLAY,Bumble Keys 2 S,Read and play the notes of the bass staff on the onscreen keyboard,,310,T,,,,,,L,,
,28950,GAM-,0310-3,QUIZ,Bumble Keys 2 S,Read and play the notes of the bass staff on the onscreen keyboard,,310,T,,,,,,L,,
,29000,GAM-,0310-4,CHALLENGE,Bumble Keys 2 S,Read and play the notes of the bass staff on the onscreen keyboard,,310,T,,,,,,L,,
,29350,GAM-,0310-5,REVIEW,Bumble Keys 2 S,Read and play the notes of the bass staff on the onscreen keyboard,,310,T,,,,,,L,,
,35200,GAM-,0330-1,LEARN,Bumble Keys 3,Read and play treble clef sharps & flats on the onscreen keyboard,,330,T,,,,,,L,,
,35250,GAM-,0330-2,PLAY,Bumble Keys 3,Read and play treble clef sharps & flats on the onscreen keyboard,,330,T,,,,,,L,,
,35300,GAM-,0330-3,QUIZ,Bumble Keys 3,Read and play treble clef sharps & flats on the onscreen keyboard,,330,T,,,,,,L,,
,35350,GAM-,0330-4,CHALLENGE,Bumble Keys 3,Read and play treble clef sharps & flats on the onscreen keyboard,,330,T,,,,,,L,,
,39150,GAM-,0330-5,REVIEW,Bumble Keys 3,Read and play treble clef sharps & flats on the onscreen keyboard,,330,T,,,,,,L,,
,38200,GAM-,0340-1,LEARN,Bumble Keys 4,Read and play bass clef sharps & flats on the onscreen keyboard,,340,T,,,,,,L,,
,38250,GAM-,0340-2,PLAY,Bumble Keys 4,Read and play bass clef sharps & flats on the onscreen keyboard,,340,T,,,,,,L,,
,38300,GAM-,0340-3,QUIZ,Bumble Keys 4,Read and play bass clef sharps & flats on the onscreen keyboard,,340,T,,,,,,L,,
,38350,GAM-,0340-4,CHALLENGE,Bumble Keys 4,Read and play bass clef sharps & flats on the onscreen keyboard,,340,T,,,,,,L,,
,40150,GAM-,0340-5,REVIEW,Bumble Keys 4,Read and play bass clef sharps & flats on the onscreen keyboard,,340,T,,,,,,L,,
,58250,GAM-,0350-1,LEARN,Bumble Keys 5,Read and play ledger lines between the staves on onscreen keyboard,,350,T,,,,,,L,,
,58300,GAM-,0350-2,PLAY,Bumble Keys 5,Read and play ledger lines between the staves on onscreen keyboard,,350,T,,,,,,L,,
,58350,GAM-,0350-3,QUIZ,Bumble Keys 5,Read and play ledger lines between the staves on onscreen keyboard,,350,T,,,,,,L,,
,58400,GAM-,0350-4,CHALLENGE,Bumble Keys 5,Read and play ledger lines between the staves on onscreen keyboard,,350,T,,,,,,L,,
,60600,GAM-,0350-5,REVIEW,Bumble Keys 5,Read and play ledger lines between the staves on onscreen keyboard,,350,T,,,,,,L,,
,40700,GAM-,0360-1,LEARN,Cannon Intervals 1,Identify half steps and whole steps on the keyboard and the staff,,360,T,,,,,,L,,
,40750,GAM-,0360-2,PLAY,Cannon Intervals 1,Identify half steps and whole steps on the keyboard and the staff,,360,T,,,,,,L,,
,40800,GAM-,0360-3,QUIZ,Cannon Intervals 1,Identify half steps and whole steps on the keyboard and the staff,,360,T,,,,,,L,,
,43050,GAM-,0360-5,REVIEW,Cannon Intervals 1,Identify half steps and whole steps on the keyboard and the staff,,360,T,,,,,,L,,
,50100,GAM-,0370-1,LEARN,Cannon Intervals 2,"Identify 5ths, 6ths, 7ths & octaves on the keyboard and the staff",,370,T,,,,,,L,,
,50150,GAM-,0370-2,PLAY,Cannon Intervals 2,"Identify 5ths, 6ths, 7ths & octaves on the keyboard and the staff",,370,T,,,,,,L,,
,50200,GAM-,0370-3,QUIZ,Cannon Intervals 2,"Identify 5ths, 6ths, 7ths & octaves on the keyboard and the staff",,370,T,,,,,,L,,
,54950,GAM-,0370-5,REVIEW,Cannon Intervals 2,"Identify 5ths, 6ths, 7ths & octaves on the keyboard and the staff",,370,T,,,,,,L,,
,82550,GAM-,0380-1,LEARN,Cannon Intervals 3,Identify minor 2nds & Major 2nds on the keyboard and the staff,,380,T,,,,,,L,,
,82600,GAM-,0380-2,PLAY,Cannon Intervals 3,Identify minor 2nds & Major 2nds on the keyboard and the staff,,380,T,,,,,,L,,
,82650,GAM-,0380-3,QUIZ,Cannon Intervals 3,Identify minor 2nds & Major 2nds on the keyboard and the staff,,380,T,,,,,,L,,
,87450,GAM-,0380-5,REVIEW,Cannon Intervals 3,Identify minor 2nds & Major 2nds on the keyboard and the staff,,380,T,,,,,,L,,
,82700,GAM-,0390-1,LEARN,Cannon Intervals 4,Identify minor 3rds & Major 3rds on the keyboard and the staff,,390,T,,,,,,L,,
,82750,GAM-,0390-2,PLAY,Cannon Intervals 4,Identify minor 3rds & Major 3rds on the keyboard and the staff,,390,T,,,,,,L,,
,82800,GAM-,0390-3,QUIZ,Cannon Intervals 4,Identify minor 3rds & Major 3rds on the keyboard and the staff,,390,T,,,,,,L,,
,87650,GAM-,0390-5,REVIEW,Cannon Intervals 4,Identify minor 3rds & Major 3rds on the keyboard and the staff,,390,T,,,,,,L,,
,17750,GAM-,0400-1,LEARN,Catch the Coconut 1,Hear and identify intervals 2nds & 5ths ,,400,T,,,,,,L,,
,17800,GAM-,0400-2,PLAY,Catch the Coconut 1,Hear and identify intervals 2nds & 5ths ,,400,T,,,,,,L,,
,17850,GAM-,0400-3,QUIZ,Catch the Coconut 1,Hear and identify intervals 2nds & 5ths ,,400,T,,,,,,L,,
,21900,GAM-,0400-5,REVIEW,Catch the Coconut 1,Hear and identify intervals 2nds & 5ths ,,400,T,,,,,,L,,
,22750,GAM-,0410-1,LEARN,Catch the Coconut 2,Hear and identify 2nds & 3rds ,,410,T,,,,,,L,,
,22800,GAM-,0410-2,PLAY,Catch the Coconut 2,Hear and identify 2nds & 3rds ,,410,T,,,,,,L,,
,22850,GAM-,0410-3,QUIZ,Catch the Coconut 2,Hear and identify 2nds & 3rds ,,410,T,,,,,,L,,
,26450,GAM-,0410-5,REVIEW,Catch the Coconut 2,Hear and identify 2nds & 3rds ,,410,T,,,,,,L,,
,27000,GAM-,0420-1,LEARN,Catch the Coconut 3,"Hear and identify 2nds, 3rds & 5ths ",,420,T,,,,,,L,,
,27050,GAM-,0420-2,PLAY,Catch the Coconut 3,"Hear and identify 2nds, 3rds & 5ths ",,420,T,,,,,,L,,
,27100,GAM-,0420-3,QUIZ,Catch the Coconut 3,"Hear and identify 2nds, 3rds & 5ths ",,420,T,,,,,,L,,
,29700,GAM-,0420-5,REVIEW,Catch the Coconut 3,"Hear and identify 2nds, 3rds & 5ths ",,420,T,,,,,,L,,
,34550,GAM-,0420-1,LEARN,Catch the Coconut 3,"Hear and identify 2nds, 3rds & 5ths ",,420,T,,,,,,L,,
,34600,GAM-,0420-2,PLAY,Catch the Coconut 3,"Hear and identify 2nds, 3rds & 5ths ",,420,T,,,,,,L,,
,34650,GAM-,0420-3,QUIZ,Catch the Coconut 3,"Hear and identify 2nds, 3rds & 5ths ",,420,T,,,,,,L,,
,28350,GAM-,0430-1,LEARN,Catch the Coconut 4,Hear and identify 4ths & 5ths ,,430,T,,,,,,L,,
,28400,GAM-,0430-2,PLAY,Catch the Coconut 4,Hear and identify 4ths & 5ths ,,430,T,,,,,,L,,
