,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,code,group,level_title,unit_title,course_category,course_tags,active,seq_order,part_type,part_number,stage,name,description,vimeo_url,pdf
,SOLF,010A,Primary Level 1A,Assignment 2,,,A,01350,GAM-,3360-1E,LEARN,Smiley & Friends-Rhythm 1,Aural matching of quarter note and quarter rest patterns.,,
,SOLF,010A,Primary Level 1A,Assignment 2,,,A,01400,GAM-,3360-2E,PLAY,Smiley & Friends-Rhythm 1,Aural matching of quarter note and quarter rest patterns.,,
,SOLF,010A,Primary Level 1A,Assignment 2,,,A,01450,GAM-,3360-3E,QUIZ,Smiley & Friends-Rhythm 1,Aural matching of quarter note and quarter rest patterns.,,
,SOLF,010A,Primary Level 1A,Assignment 2,,,A,01500,GAM-,3400-2E,PLAY,Song Birds 1,Hear and play back random patterns of DO - RE -- pre-staff,,
,SOLF,010A,Primary Level 1A,Assignment 2,,,A,01550,GAM-,3400-3E,QUIZ,Song Birds 1,Hear and play back random patterns of DO - RE -- pre-staff,,
,SOLF,010A,Primary Level 1A,Assignment 2,,,A,01600,GAM-,3400-4E,CHALLENGE,Song Birds 1,Hear and play back random patterns of DO - RE -- pre-staff,,
,SOLF,015A,Primary Level 1A,Assignment 3,,,A,01650,GAM-,3660-1E,LEARN,Steady As She Goes,Hear a portion of a song. Is the beat steady or unsteady?,,
,SOLF,015A,Primary Level 1A,Assignment 3,,,A,01700,GAM-,3660-2E,PLAY,Steady As She Goes,Hear a portion of a song. Is the beat steady or unsteady?,,
,SOLF,015A,Primary Level 1A,Assignment 3,,,A,01750,GAM-,3660-3E,QUIZ,Steady As She Goes,Hear a portion of a song. Is the beat steady or unsteady?,,
,SOLF,015A,Primary Level 1A,Assignment 3,,,A,01800,GAM-,2870-1E,LEARN,Pick the Pattern Loud Soft,"Hear, then identify each chord in a 4-chord pattern as loud or soft.",,
,SOLF,015A,Primary Level 1A,Assignment 3,,,A,01850,GAM-,2870-2E,PLAY,Pick the Pattern Loud Soft,"Hear, then identify each chord in a 4-chord pattern as loud or soft.",,
,SOLF,015A,Primary Level 1A,Assignment 3,,,A,01900,GAM-,2870-3E,QUIZ,Pick the Pattern Loud Soft,"Hear, then identify each chord in a 4-chord pattern as loud or soft.",,
,SOLF,015A,Primary Level 1A,Assignment 3,,,A,01950,GAM-,2030-1E,LEARN,Meteor Match 1 A,"Name notes and rests - Quarter note, quarter rest",,
,SOLF,015A,Primary Level 1A,Assignment 3,,,A,02000,GAM-,2030-2E,PLAY,Meteor Match 1 A,"Name notes and rests - Quarter note, quarter rest",,
,SOLF,015A,Primary Level 1A,Assignment 3,,,A,02050,GAM-,2030-3E,QUIZ,Meteor Match 1 A,"Name notes and rests - Quarter note, quarter rest",,
,SOLF,015A,Primary Level 1A,Assignment 3,,,A,02100,GAM-,0700-1E,LEARN,Falling Symbols 1,"Match music symbols (see the ""Learn"" level of the game)",,
,SOLF,015A,Primary Level 1A,Assignment 3,,,A,02150,GAM-,0700-2E,PLAY,Falling Symbols 1,"Match music symbols (see the ""Learn"" level of the game)",,
,SOLF,015A,Primary Level 1A,Assignment 3,,,A,02200,GAM-,0700-3E,QUIZ,Falling Symbols 1,"Match music symbols (see the ""Learn"" level of the game)",,
,SOLF,015A,Primary Level 1A,Assignment 3,,,A,02250,GAM-,3420-2E,PLAY,Song Birds 2,Hear and play back random patterns of DO - RE - MI -- pre-staff,,
,SOLF,015A,Primary Level 1A,Assignment 3,,,A,02300,GAM-,3420-3E,QUIZ,Song Birds 2,Hear and play back random patterns of DO - RE - MI -- pre-staff,,
,SOLF,015A,Primary Level 1A,Assignment 3,,,A,02350,GAM-,3420-4E,CHALLENGE,Song Birds 2,Hear and play back random patterns of DO - RE - MI -- pre-staff,,
,SOLF,015A,Primary Level 1A,Assignment 3,,,A,02400,GAM-,3380-1E,LEARN,Smiley and Friends 2,Hear Two note patterns -- Same or different?,,
,SOLF,015A,Primary Level 1A,Assignment 3,,,A,02450,GAM-,3380-2E,PLAY,Smiley and Friends 2,Hear Two note patterns -- Same or different?,,
,SOLF,015A,Primary Level 1A,Assignment 3,,,A,02500,GAM-,3380-3E,QUIZ,Smiley and Friends 2,Hear Two note patterns -- Same or different?,,
,SOLF,020A,Primary Level 1A,Assignment 4,,,A,02550,GAM-,2020-1E,LEARN,Meteor Match 1,"Name notes and rests - Quarter note, half note",,
,SOLF,020A,Primary Level 1A,Assignment 4,,,A,02600,GAM-,2020-2E,PLAY,Meteor Match 1,"Name notes and rests - Quarter note, half note",,
,SOLF,020A,Primary Level 1A,Assignment 4,,,A,02650,GAM-,2020-3E,QUIZ,Meteor Match 1,"Name notes and rests - Quarter note, half note",,
,SOLF,020A,Primary Level 1A,Assignment 4,,,A,02700,GAM-,0080-1E,LEARN,Alpha Order Up,Name missing letters in the ascending music alphabet,,
,SOLF,020A,Primary Level 1A,Assignment 4,,,A,02750,GAM-,0080-2E,PLAY,Alpha Order Up,Name missing letters in the ascending music alphabet,,
,SOLF,020A,Primary Level 1A,Assignment 4,,,A,02800,GAM-,0080-3E,QUIZ,Alpha Order Up,Name missing letters in the ascending music alphabet,,
,SOLF,020A,Primary Level 1A,Assignment 4,,,A,02850,GAM-,0070-1E,LEARN,Alpha Order Down,Name missing letters in the descending music alphabet,,
,SOLF,020A,Primary Level 1A,Assignment 4,,,A,02900,GAM-,0070-2E,PLAY,Alpha Order Down,Name missing letters in the descending music alphabet,,
,SOLF,020A,Primary Level 1A,Assignment 4,,,A,02950,GAM-,0070-3E,QUIZ,Alpha Order Down,Name missing letters in the descending music alphabet,,
,SOLF,020A,Primary Level 1A,Assignment 4,,,A,03000,GAM-,3360-5E,REVIEW,Smiley & Friends-Rhythm 1,Aural matching of quarter note and quarter rest patterns.,,
,SOLF,025A,Primary Level 1A,Assignment 5 - Skill Check,,,A,03050,GAM-,1100-5E,REVIEW,Hand Prints,Identify Left and Right hand,,
,SOLF,025A,Primary Level 1A,Assignment 5 - Skill Check,,,A,03100,GAM-,0780-5E,REVIEW,Finger Finder,Finger Numbers for the Right and Left hands ,,
,SOLF,025A,Primary Level 1A,Assignment 5 - Skill Check,,,A,03150,GAM-,1770-5E,REVIEW,Low Middle High ,"Identify keys that are low, middle and high on the keyboard",,
,SOLF,025A,Primary Level 1A,Assignment 5 - Skill Check,,,A,03200,GAM-,2870-5E,REVIEW,Pick the Pattern Loud Soft,"Hear, then identify each chord in a 4-chord pattern as loud or soft.",,
,SOLF,025A,Primary Level 1A,Assignment 5 - Skill Check,,,A,03250,GAM-,0700-5E,REVIEW,Falling Symbols 1,"Match music symbols (see the ""Learn"" level of the game)",,
,SOLF,025A,Primary Level 1A,Assignment 5 - Skill Check,,,A,03300,GAM-,3660-5E,REVIEW,Steady As She Goes,Hear a portion of a song. Is the beat steady or unsteady?,,
,SOLF,025A,Primary Level 1A,Assignment 5 - Skill Check,,,A,03350,GAM-,3720-5E,REVIEW,Storm Chasers 1,Aurally identify Up and Down,,
,SOLF,025A,Primary Level 1A,Assignment 5 - Skill Check,,,A,03400,GAM-,3420-5E,REVIEW,Song Birds 2,Hear and play back random patterns of DO - RE - MI -- pre-staff,,
,SOLF,030A,Primary Level 1A,Assignment 6,,,A,03450,GAM-,1810-1E,LEARN,Manny's Short & Long 1,Identify which pattern of short and long notes is the one you hear.,,
,SOLF,030A,Primary Level 1A,Assignment 6,,,A,03500,GAM-,1810-2E,PLAY,Manny's Short & Long 1,Identify which pattern of short and long notes is the one you hear.,,
,SOLF,030A,Primary Level 1A,Assignment 6,,,A,03550,GAM-,1810-3E,QUIZ,Manny's Short & Long 1,Identify which pattern of short and long notes is the one you hear.,,
,SOLF,030A,Primary Level 1A,Assignment 6,,,A,03600,GAM-,2040-1E,LEARN,Meteor Match 2,"Name notes and rests - Quarter and half note, quarter rest ",,
,SOLF,030A,Primary Level 1A,Assignment 6,,,A,03650,GAM-,2040-2E,PLAY,Meteor Match 2,"Name notes and rests - Quarter and half note, quarter rest ",,
,SOLF,030A,Primary Level 1A,Assignment 6,,,A,03700,GAM-,2040-3E,QUIZ,Meteor Match 2,"Name notes and rests - Quarter and half note, quarter rest ",,
,SOLF,030A,Primary Level 1A,Assignment 6,,,A,03750,GAM-,3730-1E,LEARN,Storm Chasers 2,"Up, Down, Same",,
,SOLF,030A,Primary Level 1A,Assignment 6,,,A,03800,GAM-,3730-2E,PLAY,Storm Chasers 2,"Up, Down, Same",,
,SOLF,030A,Primary Level 1A,Assignment 6,,,A,03850,GAM-,3730-3E,QUIZ,Storm Chasers 2,"Up, Down, Same",,
,SOLF,030A,Primary Level 1A,Assignment 6,,,A,03900,GAM-,3020-1E,LEARN,Rhythm Pix 1,Is this rhythm the same or different from the one you hear? Quarter notes and rests,,
,SOLF,030A,Primary Level 1A,Assignment 6,,,A,03950,GAM-,3020-2E,PLAY,Rhythm Pix 1,Is this rhythm the same or different from the one you hear? Quarter notes and rests,,
,SOLF,030A,Primary Level 1A,Assignment 6,,,A,04000,GAM-,3020-3E,QUIZ,Rhythm Pix 1,Is this rhythm the same or different from the one you hear? Quarter notes and rests,,
,SOLF,035A,Primary Level 1A,Assignment 7,,,A,04050,GAM-,0712-1E,LEARN,Falling Symbols 2,"Identify music symbols (see the ""Learn"" level of the game)",,
,SOLF,035A,Primary Level 1A,Assignment 7,,,A,04100,GAM-,0712-2E,PLAY,Falling Symbols 2,"Identify music symbols (see the ""Learn"" level of the game)",,
,SOLF,035A,Primary Level 1A,Assignment 7,,,A,04150,GAM-,0712-3E,QUIZ,Falling Symbols 2,"Identify music symbols (see the ""Learn"" level of the game)",,
,SOLF,035A,Primary Level 1A,Assignment 7,,,A,04200,GAM-,3060-1E,LEARN,Rhythm Pop 1,"How many beats?  Quarter, half, and whole notes",,
,SOLF,035A,Primary Level 1A,Assignment 7,,,A,04250,GAM-,3060-2E,PLAY,Rhythm Pop 1,"How many beats?  Quarter, half, and whole notes",,
,SOLF,035A,Primary Level 1A,Assignment 7,,,A,04300,GAM-,3060-3E,QUIZ,Rhythm Pop 1,"How many beats?  Quarter, half, and whole notes",,
,SOLF,035A,Primary Level 1A,Assignment 7,,,A,04350,GAM-,2860-1E,LEARN,Pick the Pattern Forte Piano,"Hear, then identify each chord in a 4-chord pattern as forte or piano.",,
,SOLF,035A,Primary Level 1A,Assignment 7,,,A,04400,GAM-,2860-2E,PLAY,Pick the Pattern Forte Piano,"Hear, then identify each chord in a 4-chord pattern as forte or piano.",,
,SOLF,035A,Primary Level 1A,Assignment 7,,,A,04450,GAM-,2860-3E,QUIZ,Pick the Pattern Forte Piano,"Hear, then identify each chord in a 4-chord pattern as forte or piano.",,
,SOLF,035A,Primary Level 1A,Assignment 7,,,A,04500,GAM-,3440-2E,PLAY,Song Birds 3,Hear and play back random patterns of DO - RE - MI - SOL -- pre-staff,,
,SOLF,035A,Primary Level 1A,Assignment 7,,,A,04550,GAM-,3440-3E,QUIZ,Song Birds 3,Hear and play back random patterns of DO - RE - MI - SOL -- pre-staff,,
,SOLF,035A,Primary Level 1A,Assignment 7,,,A,04600,GAM-,1650-1E,LEARN,LetterFly 1 do-re-m,CDE--Identify and play on the onscreen keyboard,,
,SOLF,035A,Primary Level 1A,Assignment 7,,,A,04650,GAM-,1650-2E,PLAY,LetterFly 1 do-re-m,CDE--Identify and play on the onscreen keyboard,,
,SOLF,035A,Primary Level 1A,Assignment 7,,,A,04700,GAM-,1650-3E,QUIZ,LetterFly 1 do-re-m,CDE--Identify and play on the onscreen keyboard,,
,SOLF,035A,Primary Level 1A,Assignment 7,,,A,04750,GAM-,1670-1E,LEARN,LetterFly 2 fa-sol-la-ti,FGAB--Identify and play on the onscreen keyboard,,
,SOLF,035A,Primary Level 1A,Assignment 7,,,A,04800,GAM-,1670-2E,PLAY,LetterFly 2 fa-sol-la-ti,FGAB--Identify and play on the onscreen keyboard,,
,SOLF,035A,Primary Level 1A,Assignment 7,,,A,04850,GAM-,1670-3E,QUIZ,LetterFly 2 fa-sol-la-ti,FGAB--Identify and play on the onscreen keyboard,,
,SOLF,040A,Primary Level 1A,Assignment 8,,,A,04900,GAM-,3120-1E,LEARN,Rhythm Rally 1,Which one-measure rhythm is played?  Quarter notes and quarter rests,,
,SOLF,040A,Primary Level 1A,Assignment 8,,,A,04950,GAM-,3120-2E,PLAY,Rhythm Rally 1,Which one-measure rhythm is played?  Quarter notes and quarter rests,,
,SOLF,040A,Primary Level 1A,Assignment 8,,,A,05000,GAM-,3120-3E,QUIZ,Rhythm Rally 1,Which one-measure rhythm is played?  Quarter notes and quarter rests,,
,SOLF,040A,Primary Level 1A,Assignment 8,,,A,05050,GAM-,3500-2E,PLAY,Staff Birds 1,Hear and play back random patterns of C and D -- birds on staff,,
,SOLF,040A,Primary Level 1A,Assignment 8,,,A,05100,GAM-,3500-3E,QUIZ,Staff Birds 1,Hear and play back random patterns of C and D -- birds on staff,,
,SOLF,040A,Primary Level 1A,Assignment 8,,,A,05150,GAM-,0760-1E,LEARN,Faster-Slower-Same 2,"Does the music become faster, slower or the same? ",,
,SOLF,040A,Primary Level 1A,Assignment 8,,,A,05200,GAM-,0760-2E,PLAY,Faster-Slower-Same 2,"Does the music become faster, slower or the same? ",,
,SOLF,040A,Primary Level 1A,Assignment 8,,,A,05250,GAM-,0760-3E,QUIZ,Faster-Slower-Same 2,"Does the music become faster, slower or the same? ",,
,SOLF,040A,Primary Level 1A,Assignment 8,,,A,05300,GAM-,3730-5E,REVIEW,Storm Chasers 2,"Up, Down, Same",,
,SOLF,045A,Primary Level 1A,Assignment 9,,,A,05350,GAM-,3130-1E,LEARN,Rhythm Rally 1A,Which one-measure rhythm is played?  Quarter notes and half notes,,
,SOLF,045A,Primary Level 1A,Assignment 9,,,A,05400,GAM-,3130-2E,PLAY,Rhythm Rally 1A,Which one-measure rhythm is played?  Quarter notes and half notes,,
,SOLF,045A,Primary Level 1A,Assignment 9,,,A,05450,GAM-,3130-3E,QUIZ,Rhythm Rally 1A,Which one-measure rhythm is played?  Quarter notes and half notes,,
,SOLF,045A,Primary Level 1A,Assignment 9,,,A,05500,GAM-,1700-1E,LEARN,Letterfly 3 all white keys,White Keys--Identify and play on the onscreen keyboard,,
,SOLF,045A,Primary Level 1A,Assignment 9,,,A,05550,GAM-,1700-2E,PLAY,Letterfly 3 all white keys,White Keys--Identify and play on the onscreen keyboard,,
,SOLF,045A,Primary Level 1A,Assignment 9,,,A,05600,GAM-,1700-3E,QUIZ,Letterfly 3 all white keys,White Keys--Identify and play on the onscreen keyboard,,
,SOLF,045A,Primary Level 1A,Assignment 9,,,A,05650,GAM-,0090-1E,LEARN,Alpha Steps & Skips 1,Name the letters of the musical alphabet that make steps up & down,,
,SOLF,045A,Primary Level 1A,Assignment 9,,,A,05700,GAM-,0090-2E,PLAY,Alpha Steps & Skips 1,Name the letters of the musical alphabet that make steps up & down,,
,SOLF,045A,Primary Level 1A,Assignment 9,,,A,05750,GAM-,0090-3E,QUIZ,Alpha Steps & Skips 1,Name the letters of the musical alphabet that make steps up & down,,
,SOLF,045A,Primary Level 1A,Assignment 9,,,A,05800,GAM-,2180-1E,LEARN,Music Symbol Match 1,Popular memory/concentration game format,,
,SOLF,045A,Primary Level 1A,Assignment 9,,,A,05850,GAM-,2180-2E,PLAY,Music Symbol Match 1,Popular memory/concentration game format,,
,SOLF,045A,Primary Level 1A,Assignment 9,,,A,05900,GAM-,2180-3E,QUIZ,Music Symbol Match 1,Popular memory/concentration game format,,
,SOLF,045A,Primary Level 1A,Assignment 9,,,A,05950,GAM-,2180-4E,CHALLENGE,Music Symbol Match 1,Popular memory/concentration game format,,
,SOLF,050A,Primary Level 1A,Assignment 10 - Skill Check,,,A,06000,GAM-,2860-5E,REVIEW,Pick the Pattern Forte Piano,"Hear, then identify each chord in a 4-chord pattern as forte or piano.",,
,SOLF,050A,Primary Level 1A,Assignment 10 - Skill Check,,,A,06050,GAM-,3020-5E,REVIEW,Rhythm Pix 1,Is this rhythm the same or different from the one you hear? Quarter notes and rests,,
,SOLF,050A,Primary Level 1A,Assignment 10 - Skill Check,,,A,06100,GAM-,2040-5E,REVIEW,Meteor Match 2,"Name notes and rests - Quarter and half note, quarter rest ",,
,SOLF,050A,Primary Level 1A,Assignment 10 - Skill Check,,,A,06150,GAM-,1810-5E,REVIEW,Manny's Short & Long 1,Identify which pattern of short and long notes is the one you hear.,,
,SOLF,050A,Primary Level 1A,Assignment 10 - Skill Check,,,A,06200,GAM-,1650-5E,REVIEW,LetterFly 1 do-re-m,CDE--Identify and play on the onscreen keyboard,,
,SOLF,050A,Primary Level 1A,Assignment 10 - Skill Check,,,A,06250,GAM-,1670-5E,REVIEW,LetterFly 2 fa-sol-la-ti,FGAB--Identify and play on the onscreen keyboard,,
,SOLF,050A,Primary Level 1A,Assignment 10 - Skill Check,,,A,06300,GAM-,3440-5E,REVIEW,Song Birds 3,Hear and play back random patterns of DO - RE - MI - SOL -- pre-staff,,
,SOLF,050A,Primary Level 1A,Assignment 10 - Skill Check,,,A,06350,GAM-,0760-5E,REVIEW,Faster-Slower-Same 2,"Does the music become faster, slower or the same? ",,
,SOLF,050A,Primary Level 1A,Assignment 10 - Skill Check,,,A,06400,GAM-,3060-5E,REVIEW,Rhythm Pop 1,"How many beats?  Quarter, half, and whole notes",,
,SOLF,055A,Primary Level 1A,Assignment 11,,,A,06450,GAM-,1830-1E,LEARN,Melody Match 1,Hear a melody and tell which melody matches the one you heard,,
,SOLF,055A,Primary Level 1A,Assignment 11,,,A,06500,GAM-,1830-2E,PLAY,Melody Match 1,Hear a melody and tell which melody matches the one you heard,,
,SOLF,055A,Primary Level 1A,Assignment 11,,,A,06550,GAM-,1830-3E,QUIZ,Melody Match 1,Hear a melody and tell which melody matches the one you heard,,
,SOLF,055A,Primary Level 1A,Assignment 11,,,A,06600,GAM-,1820-1E,LEARN,Manny's Short & Long 2,Identify which pattern of short and long notes is the one you hear.,,
,SOLF,055A,Primary Level 1A,Assignment 11,,,A,06650,GAM-,1820-2E,PLAY,Manny's Short & Long 2,Identify which pattern of short and long notes is the one you hear.,,
,SOLF,055A,Primary Level 1A,Assignment 11,,,A,06700,GAM-,1820-3E,QUIZ,Manny's Short & Long 2,Identify which pattern of short and long notes is the one you hear.,,
,SOLF,055A,Primary Level 1A,Assignment 11,,,A,06750,GAM-,1960-1E,LEARN,Melody Pix 1,"Hear and identify melody block patterns of Do-Re-Mi - same tonic
",,
,SOLF,055A,Primary Level 1A,Assignment 11,,,A,06800,GAM-,1960-2E,PLAY,Melody Pix 1,"Hear and identify melody block patterns of Do-Re-Mi - same tonic
",,
,SOLF,055A,Primary Level 1A,Assignment 11,,,A,06850,GAM-,1960-3E,QUIZ,Melody Pix 1,"Hear and identify melody block patterns of Do-Re-Mi - same tonic
",,
,SOLF,055A,Primary Level 1A,Assignment 11,,,A,06900,GAM-,3120-5E,REVIEW,Rhythm Rally 1,Which one-measure rhythm is played?  Quarter notes and quarter rests,,
,SOLF,060A,Primary Level 1A,Assignment 12,,,A,06950,GAM-,2050-1E,LEARN,Meteor Match 3,"Name notes and rests  Quarter, half, dotted half and whole notes ",,
,SOLF,060A,Primary Level 1A,Assignment 12,,,A,07000,GAM-,2050-2E,PLAY,Meteor Match 3,"Name notes and rests  Quarter, half, dotted half and whole notes ",,
,SOLF,060A,Primary Level 1A,Assignment 12,,,A,07050,GAM-,2050-3E,QUIZ,Meteor Match 3,"Name notes and rests  Quarter, half, dotted half and whole notes ",,
,SOLF,060A,Primary Level 1A,Assignment 12,,,A,07100,GAM-,3070-1E,LEARN,Rhythm Pop 1A,"How many beats?  Quarter, half, dotted half and whole notes",,
,SOLF,060A,Primary Level 1A,Assignment 12,,,A,07150,GAM-,3070-2E,PLAY,Rhythm Pop 1A,"How many beats?  Quarter, half, dotted half and whole notes",,
,SOLF,060A,Primary Level 1A,Assignment 12,,,A,07200,GAM-,3070-3E,QUIZ,Rhythm Pop 1A,"How many beats?  Quarter, half, dotted half and whole notes",,
,SOLF,060A,Primary Level 1A,Assignment 12,,,A,07250,GAM-,3520-2E,PLAY,Staff Birds 2,Hear and play back random patterns of C  D  E -- birds on staff,,
,SOLF,060A,Primary Level 1A,Assignment 12,,,A,07300,GAM-,3520-3E,QUIZ,Staff Birds 2,Hear and play back random patterns of C  D  E -- birds on staff,,
,SOLF,060A,Primary Level 1A,Assignment 12,,,A,07350,GAM-,1700-5E,REVIEW,Letterfly 3 all white keys,White Keys--Identify and play on the onscreen keyboard,,
,SOLF,060A,Primary Level 1A,Assignment 12,,,A,07400,GAM-,3140-1E,LEARN,Rhythm Rally 2,"Which one-measure rhythm is played?  Quarter, half, dotted half and whole notes. ",,
,SOLF,060A,Primary Level 1A,Assignment 12,,,A,07450,GAM-,3140-2E,PLAY,Rhythm Rally 2,"Which one-measure rhythm is played?  Quarter, half, dotted half and whole notes. ",,
,SOLF,060A,Primary Level 1A,Assignment 12,,,A,07500,GAM-,3140-3E,QUIZ,Rhythm Rally 2,"Which one-measure rhythm is played?  Quarter, half, dotted half and whole notes. ",,
,SOLF,060A,Primary Level 1A,Assignment 12,,,A,07550,GAM-,1680-5E,REVIEW,LetterFly 3,White Keys--Identify and play on the onscreen keyboard,,
,SOLF,065A,Primary Level 1A,Assignment 13,,,A,07600,GAM-,3830-1E,LEARN,Time Signature Blimp 1,See a melody and identify the time signature--3-4 and 4-4,,
,SOLF,065A,Primary Level 1A,Assignment 13,,,A,07650,GAM-,3830-2E,PLAY,Time Signature Blimp 1,See a melody and identify the time signature--3-4 and 4-4,,
,SOLF,065A,Primary Level 1A,Assignment 13,,,A,07700,GAM-,3830-3E,QUIZ,Time Signature Blimp 1,See a melody and identify the time signature--3-4 and 4-4,,
,SOLF,065A,Primary Level 1A,Assignment 13,,,A,07750,GAM-,3260-1E,LEARN,Rhythm Writer 1,Place Barlines in the right places in 4-4 time,,
,SOLF,065A,Primary Level 1A,Assignment 13,,,A,07800,GAM-,3260-2E,PLAY,Rhythm Writer 1,Place Barlines in the right places in 4-4 time,,
,SOLF,065A,Primary Level 1A,Assignment 13,,,A,07850,GAM-,3260-3E,QUIZ,Rhythm Writer 1,Place Barlines in the right places in 4-4 time,,
,SOLF,065A,Primary Level 1A,Assignment 13,,,A,07900,GAM-,0090-5E,REVIEW,Alpha Steps & Skips 1,Name the letters of the musical alphabet that make steps up & down,,
,SOLF,065A,Primary Level 1A,Assignment 13,,,A,07950,GAM-,3540-2E,PLAY,Staff Birds 3,Hear and play back random patterns of F  G  A -- birds on staff,,
,SOLF,065A,Primary Level 1A,Assignment 13,,,A,08000,GAM-,3540-3E,QUIZ,Staff Birds 3,Hear and play back random patterns of F  G  A -- birds on staff,,
,SOLF,070A,Primary Level 1A,Assignment 14,,,A,08050,GAM-,0100-1E,LEARN,Alpha Steps & Skips 2,Name the letters of the musical alphabet that make skips up & down,,
,SOLF,070A,Primary Level 1A,Assignment 14,,,A,08100,GAM-,0100-2E,PLAY,Alpha Steps & Skips 2,Name the letters of the musical alphabet that make skips up & down,,
,SOLF,070A,Primary Level 1A,Assignment 14,,,A,08150,GAM-,0100-3E,QUIZ,Alpha Steps & Skips 2,Name the letters of the musical alphabet that make skips up & down,,
,SOLF,070A,Primary Level 1A,Assignment 14,,,A,08200,GAM-,3670-1E,LEARN,Step Right Up 1,Visually identify notes as on lines or spaces ,,
,SOLF,070A,Primary Level 1A,Assignment 14,,,A,08250,GAM-,3670-2E,PLAY,Step Right Up 1,Visually identify notes as on lines or spaces ,,
,SOLF,070A,Primary Level 1A,Assignment 14,,,A,08300,GAM-,3670-3E,QUIZ,Step Right Up 1,Visually identify notes as on lines or spaces ,,
,SOLF,070A,Primary Level 1A,Assignment 14,,,A,08350,GAM-,3070-5E,REVIEW,Rhythm Pop 1A,"How many beats?  Quarter, half, dotted half and whole notes",,
