,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AUD-FUN-1000,,,,,,,AUD,,FUN,,,Play Music with Me,,,,,,,,,,Introductory Marketing video for website,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VID-INS-2345,,,,,,,VID,,INS,,,Member code,,,,,,,,,,Describes how to enter member code,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TXT-LAB-3015,,,,,,,TXT,,LAB,,,SUBSCRIBE,,,,,,,,,,Label on subscription page,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,GAME SEQUENCE DEFINITION,,,,,,,,,,,,,,,,,,,,,,
,LIFE,,,Lifetime Musicain Sequence Definition Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Code,,,Level Title,,,,,,,,,Unit Title,,,,,,,Group,,,Seq Table #,,,,,,,,,EXAMPLE TABLES,,,,,,,,,
,LIFE,,,Primary Level 1A,,,,,,,,,Assignment 1,,,,,,,,A,,LIFE-000010,,,,,,,,,,,,,,,,,,
,LIFE,,,Primary Level 1A,,,,,,,,,Assignment 2,,,,,,,,A,,LIFE-000020,,,,,,,,,,,,,,,,,,
,LIFE,,,Primary Level 1A,,,,,,,,,Assignment 3,,,,,,,,A,,LIFE-000030,,,,,,,,,,,,,,,,,,
,LIFE,,,Primary Level 1A,,,,,,,,, - - - - - - -,,,,,,,, - -,,,,,,,,,,,,,,,,,,,,
,LIFE,,,Primary Level 1A,,,,,,,,,Assignment 20,,,,,,,,A,,LIFE-006000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALFP,,,Alfred Premier Piano Course Sequence Definition Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Code,,,Level Title,,,,,,,,,Unit Title,,,,,,,Group,,,Seq Table #,,,,,,,,,,,,,,,,,,
,ALFP,,,Level 1A,,,,,,,,,1. Pages 4-11,,,,,,,,A,,ALFP-0010,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALFP,,,Level 1A,,,,,,,,,1. Pages 4-11,,,,,,,,B,,ALPH-0020,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALFP,,,Level 1A,,,,,,,,,1. Pages 4-11,,,,,,,,C,,ALPH-0030,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALPH,,,Level 1A,,,,,,,,,2. Pages 12-14,,,,,,,,A,,ALPH-0040,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LIFE,,,Lifetime Musicain Sequence Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Seq Order Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seq Table #,,,,,,,,,Elements Numbers,,,,,,,Type,,,Stage,,,Name,,,,,,,,,,Description,,,,,,,,
,LIFE-000010,,,,,,110,,,VID-INS-2005,,,,,,,VID,,,INS,,,How to Use Sequence,,,,,,,,,,How to navigate sequence assignment,,,,,,,,
,LIFE-000010,,,,,,114,,,04001-1,,,,,,,GAM,,,LERN,,,Songbirds High and Low,,,,,,,,,,Identify high sounds and low sounds,,,,,,,,
,LIFE-000010,,,,,,118,,,04001-2,,,,,,,GAM,,,PLAY,,,Songbirds High and Low,,,,,,,,,,Identify high sounds and low sounds,,,,,,,,
,LIFE-000010,,,,,,122,,,04001-3,,,,,,,GAM,,,QUIZ,,,Songbirds High and Low,,,,,,,,,,Identify high sounds and low sounds,,,,,,,,
,LIFE-000010,,,,,,126,,,08002-1,,,,,,,GAM,,,LERN,,,Storm Chasers 1,,,,,,,,,,Aurally identify Up and Down,,,,,,,,
,,, - - - -,,,,, -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LIFE-000010,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LIFE-000010,,,,,,160,,,,,,,,,,(Last game in Level 1a Assignment 1,,,,,,,,,,,,,,,,,,,,,,,,
,LIFE-000020,,,,,,170,,,,,,,,,,(First game in Level 1a Assignment 2,,,,,,,,,,,,,,,,,,,,,,,,
,LIFE-000020,,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
