,,,,,,,
,,MONTHLY,,ANNUAL,,,Annual
,305,$71.95 ,$863.40 ,0.236,$2.83 ,,0.031
,310,$72.75 ,$873.00 ,0.235,$2.82 ,,0.030
,315,$73.55 ,$882.60 ,0.233,$2.80 ,,0.029
,320,$74.35 ,$892.20 ,0.232,$2.79 ,,0.028
,325,$75.15 ,$901.80 ,0.231,$2.77 ,,0.027
,330,$75.95 ,$911.40 ,0.230,$2.76 ,,0.026
,335,$76.75 ,$921.00 ,0.229,$2.75 ,,0.026
,340,$77.55 ,$930.60 ,0.228,$2.74 ,,0.025
,345,$78.35 ,$940.20 ,0.227,$2.73 ,,0.024
,350,$79.15 ,$949.80 ,0.226,$2.71 ,,0.023
,355,$79.95 ,$959.40 ,0.225,$2.70 ,,0.023
,360,$80.75 ,$969.00 ,0.224,$2.69 ,,0.022
,365,$81.55 ,$978.60 ,0.223,$2.68 ,,0.021
,370,$82.35 ,$988.20 ,0.223,$2.67 ,,0.021
,375,$83.15 ,$997.80 ,0.222,$2.66 ,,0.020
,380,$83.95 ,"$1,007.40 ",0.221,$2.65 ,,0.020
,385,$84.75 ,"$1,017.00 ",0.220,$2.64 ,,0.019
,390,$85.55 ,"$1,026.60 ",0.219,$2.63 ,,0.019
,395,$86.35 ,"$1,036.20 ",0.219,$2.62 ,,0.018
,400,$87.15 ,"$1,045.80 ",0.218,$2.61 ,,0.018
,405,$87.95 ,"$1,055.40 ",0.217,$2.61 ,,0.017
,410,$88.75 ,"$1,065.00 ",0.216,$2.60 ,,0.017
,415,$89.55 ,"$1,074.60 ",0.216,$2.59 ,,0.017
,420,$90.35 ,"$1,084.20 ",0.215,$2.58 ,,0.016
,425,$91.15 ,"$1,093.80 ",0.214,$2.57 ,,0.016
,430,$91.95 ,"$1,103.40 ",0.214,$2.57 ,,0.015
,435,$92.75 ,"$1,113.00 ",0.213,$2.56 ,,0.015
,440,$93.55 ,"$1,122.60 ",0.213,$2.55 ,,0.015
,445,$94.35 ,"$1,132.20 ",0.212,$2.54 ,,0.014
,450,$95.15 ,"$1,141.80 ",0.211,$2.54 ,,0.014
,455,$95.95 ,"$1,151.40 ",0.211,$2.53 ,,0.014
,460,$96.75 ,"$1,161.00 ",0.210,$2.52 ,,0.013
,465,$97.55 ,"$1,170.60 ",0.210,$2.52 ,,0.013
,470,$98.35 ,"$1,180.20 ",0.209,$2.51 ,,0.013
,475,$99.15 ,"$1,189.80 ",0.209,$2.50 ,,0.013
,480,$99.95 ,"$1,199.40 ",0.208,$2.50 ,,0.012
,485,$100.75 ,"$1,209.00 ",0.208,$2.49 ,,0.012
,490,$101.55 ,"$1,218.60 ",0.207,$2.49 ,,0.012
,495,$102.35 ,"$1,228.20 ",0.207,$2.48 ,,0.006
,500,$103.15 ,"$1,237.80 ",0.206,$2.48 ,,0.006
,505,$103.75 ,"$1,245.00 ",0.205,$2.47 ,,0.010
,510,$104.35 ,"$1,252.20 ",0.205,$2.46 ,,0.010
,515,$104.95 ,"$1,259.40 ",0.204,$2.45 ,,0.010
,520,$105.55 ,"$1,266.60 ",0.203,$2.44 ,,0.010
,525,$106.15 ,"$1,273.80 ",0.202,$2.43 ,,0.009
,530,$106.75 ,"$1,281.00 ",0.201,$2.42 ,,0.009
,535,$107.35 ,"$1,288.20 ",0.201,$2.41 ,,0.009
,540,$107.95 ,"$1,295.40 ",0.200,$2.40 ,,0.009
,545,$108.55 ,"$1,302.60 ",0.199,$2.39 ,,0.009
,550,$109.15 ,"$1,309.80 ",0.198,$2.38 ,,0.009
,555,$109.75 ,"$1,317.00 ",0.198,$2.37 ,,0.008
,560,$110.35 ,"$1,324.20 ",0.197,$2.36 ,,0.008
,565,$110.95 ,"$1,331.40 ",0.196,$2.36 ,,0.008
,570,$111.55 ,"$1,338.60 ",0.196,$2.35 ,,0.008
,575,$112.15 ,"$1,345.80 ",0.195,$2.34 ,,0.008
,580,$112.75 ,"$1,353.00 ",0.194,$2.33 ,,0.008
,585,$113.35 ,"$1,360.20 ",0.194,$2.33 ,,0.008
,590,$113.95 ,"$1,367.40 ",0.193,$2.32 ,,0.008
,595,$114.55 ,"$1,374.60 ",0.193,$2.31 ,,0.007
,600,$115.15 ,"$1,381.80 ",0.192,$2.30 ,,0.007
,605,$115.75 ,"$1,389.00 ",0.191,$2.30 ,,0.007
,610,$116.35 ,"$1,396.20 ",0.191,$2.29 ,,0.007
,615,$116.95 ,"$1,403.40 ",0.190,$2.28 ,,0.007
,620,$117.55 ,"$1,410.60 ",0.190,$2.28 ,,0.007
,625,$118.15 ,"$1,417.80 ",0.189,$2.27 ,,0.007
,630,$118.75 ,"$1,425.00 ",0.188,$2.26 ,,0.007
,635,$119.35 ,"$1,432.20 ",0.188,$2.26 ,,0.006
,640,$119.95 ,"$1,439.40 ",0.187,$2.25 ,,0.006
,645,$120.55 ,"$1,446.60 ",0.187,$2.24 ,,0.006
,650,$121.15 ,"$1,453.80 ",0.186,$2.24 ,,0.006
,655,$121.75 ,"$1,461.00 ",0.186,$2.23 ,,0.006
,660,$122.35 ,"$1,468.20 ",0.185,$2.22 ,,0.006
,665,$122.95 ,"$1,475.40 ",0.185,$2.22 ,,0.006
,670,$123.55 ,"$1,482.60 ",0.184,$2.21 ,,0.006
,675,$124.15 ,"$1,489.80 ",0.184,$2.21 ,,0.006
,680,$124.75 ,"$1,497.00 ",0.183,$2.20 ,,0.006
,685,$125.35 ,"$1,504.20 ",0.183,$2.20 ,,0.006
,690,$125.95 ,"$1,511.40 ",0.183,$2.19 ,,0.005
,695,$126.55 ,"$1,518.60 ",0.182,$2.19 ,,0.005
,700,$127.15 ,"$1,525.80 ",0.182,$2.18 ,,0.005
,705,$127.75 ,"$1,533.00 ",0.181,$2.17 ,,0.005
,710,$128.35 ,"$1,540.20 ",0.181,$2.17 ,,0.005
,715,$128.95 ,"$1,547.40 ",0.180,$2.16 ,,0.005
,720,$129.55 ,"$1,554.60 ",0.180,$2.16 ,,0.005
,725,$130.15 ,"$1,561.80 ",0.180,$2.15 ,,0.005
,730,$130.75 ,"$1,569.00 ",0.179,$2.15 ,,0.005
,735,$131.35 ,"$1,576.20 ",0.179,$2.14 ,,0.005
,740,$131.95 ,"$1,583.40 ",0.178,$2.14 ,,0.005
,745,$132.55 ,"$1,590.60 ",0.178,$2.14 ,,0.005
,750,$133.15 ,"$1,597.80 ",0.178,$2.13 ,,0.005
,755,$133.75 ,"$1,605.00 ",0.177,$2.13 ,,0.005
,760,$134.35 ,"$1,612.20 ",0.177,$2.12 ,,0.005
,765,$134.95 ,"$1,619.40 ",0.176,$2.12 ,,0.004
,770,$135.55 ,"$1,626.60 ",0.176,$2.11 ,,0.004
,775,$136.15 ,"$1,633.80 ",0.176,$2.11 ,,0.004
,780,$136.75 ,"$1,641.00 ",0.175,$2.10 ,,0.004
,785,$137.35 ,"$1,648.20 ",0.175,$2.10 ,,0.004
,790,$137.95 ,"$1,655.40 ",0.175,$2.10 ,,0.004
,795,$138.55 ,"$1,662.60 ",0.174,$2.09 ,,0.004
,800,$139.15 ,"$1,669.80 ",0.174,$2.09 ,,0.004
,805,$139.75 ,"$1,677.00 ",0.174,$2.08 ,,0.004
,810,$140.35 ,"$1,684.20 ",0.173,$2.08 ,,0.004
,815,$140.95 ,"$1,691.40 ",0.173,$2.08 ,,0.004
,820,$141.55 ,"$1,698.60 ",0.173,$2.07 ,,0.004
,825,$142.15 ,"$1,705.80 ",0.172,$2.07 ,,0.004
,830,$142.75 ,"$1,713.00 ",0.172,$2.06 ,,0.004
,835,$143.35 ,"$1,720.20 ",0.172,$2.06 ,,0.004
,840,$143.95 ,"$1,727.40 ",0.171,$2.06 ,,0.004
,845,$144.55 ,"$1,734.60 ",0.171,$2.05 ,,0.004
,850,$145.15 ,"$1,741.80 ",0.171,$2.05 ,,0.004
,855,$145.75 ,"$1,749.00 ",0.170,$2.05 ,,0.004
,860,$146.35 ,"$1,756.20 ",0.170,$2.04 ,,0.004
,865,$146.95 ,"$1,763.40 ",0.170,$2.04 ,,0.003
,870,$147.55 ,"$1,770.60 ",0.170,$2.04 ,,0.003
,875,$148.15 ,"$1,777.80 ",0.169,$2.03 ,,0.003
,880,$148.75 ,"$1,785.00 ",0.169,$2.03 ,,0.003
,885,$149.35 ,"$1,792.20 ",0.169,$2.03 ,,0.003
,890,$149.95 ,"$1,799.40 ",0.168,$2.02 ,,0.003
,895,$150.55 ,"$1,806.60 ",0.168,$2.02 ,,0.003
,900,$151.15 ,"$1,813.80 ",0.168,$2.02 ,,0.003
,905,$151.75 ,"$1,821.00 ",0.168,$2.01 ,,0.003
,910,$152.35 ,"$1,828.20 ",0.167,$2.01 ,,0.003
,915,$152.95 ,"$1,835.40 ",0.167,$2.01 ,,0.003
,920,$153.55 ,"$1,842.60 ",0.167,$2.00 ,,0.003
,925,$154.15 ,"$1,849.80 ",0.167,$2.00 ,,0.003
,930,$154.75 ,"$1,857.00 ",0.166,$2.00 ,,0.003
,935,$155.35 ,"$1,864.20 ",0.166,$1.99 ,,0.003
,940,$155.95 ,"$1,871.40 ",0.166,$1.99 ,,0.003
,945,$156.55 ,"$1,878.60 ",0.166,$1.99 ,,0.003
,950,$157.15 ,"$1,885.80 ",0.165,$1.99 ,,0.003
,955,$157.75 ,"$1,893.00 ",0.165,$1.98 ,,0.003
,960,$158.35 ,"$1,900.20 ",0.165,$1.98 ,,0.003
,965,$158.95 ,"$1,907.40 ",0.165,$1.98 ,,0.003
,970,$159.55 ,"$1,914.60 ",0.164,$1.97 ,,0.003
,975,$160.15 ,"$1,921.80 ",0.164,$1.97 ,,0.003
,980,$160.75 ,"$1,929.00 ",0.164,$1.97 ,,0.003
,985,$161.35 ,"$1,936.20 ",0.164,$1.97 ,,0.003
,990,$161.95 ,"$1,943.40 ",0.164,$1.96 ,,0.003
,995,$162.55 ,"$1,950.60 ",0.163,$1.96 ,,0.003
,1000,$163.15 ,"$1,957.80 ",0.163,$1.96 ,,0.003
,1005,$163.65 ,"$1,963.80 ",0.163,$1.95 ,,0.004
,1010,$164.15 ,"$1,969.80 ",0.163,$1.95 ,,0.004
,1015,$164.65 ,"$1,975.80 ",0.162,$1.95 ,,0.004
,1020,$165.15 ,"$1,981.80 ",0.162,$1.94 ,,0.004
,1025,$165.65 ,"$1,987.80 ",0.162,$1.94 ,,0.004
,1030,$166.15 ,"$1,993.80 ",0.161,$1.94 ,,0.004
,1035,$166.65 ,"$1,999.80 ",0.161,$1.93 ,,0.004
,1040,$167.15 ,"$2,005.80 ",0.161,$1.93 ,,0.004
,1045,$167.65 ,"$2,011.80 ",0.160,$1.93 ,,0.003
,1050,$168.15 ,"$2,017.80 ",0.160,$1.92 ,,0.003
,1055,$168.65 ,"$2,023.80 ",0.160,$1.92 ,,0.003
,1060,$169.15 ,"$2,029.80 ",0.160,$1.91 ,,0.003
,1065,$169.65 ,"$2,035.80 ",0.159,$1.91 ,,0.003
,1070,$170.15 ,"$2,041.80 ",0.159,$1.91 ,,0.003
,1075,$170.65 ,"$2,047.80 ",0.159,$1.90 ,,0.003
,1080,$171.15 ,"$2,053.80 ",0.158,$1.90 ,,0.003
,1085,$171.65 ,"$2,059.80 ",0.158,$1.90 ,,0.003
,1090,$172.15 ,"$2,065.80 ",0.158,$1.90 ,,0.003
,1095,$172.65 ,"$2,071.80 ",0.158,$1.89 ,,0.003
,1100,$173.15 ,"$2,077.80 ",0.157,$1.89 ,,0.003
,1105,$173.65 ,"$2,083.80 ",0.157,$1.89 ,,0.003
,1110,$174.15 ,"$2,089.80 ",0.157,$1.88 ,,0.003
,1115,$174.65 ,"$2,095.80 ",0.157,$1.88 ,,0.003
,1120,$175.15 ,"$2,101.80 ",0.156,$1.88 ,,0.003
,1125,$175.65 ,"$2,107.80 ",0.156,$1.87 ,,0.003
,1130,$176.15 ,"$2,113.80 ",0.156,$1.87 ,,0.003
,1135,$176.65 ,"$2,119.80 ",0.156,$1.87 ,,0.003
,1140,$177.15 ,"$2,125.80 ",0.155,$1.86 ,,0.003
,1145,$177.65 ,"$2,131.80 ",0.155,$1.86 ,,0.003
,1150,$178.15 ,"$2,137.80 ",0.155,$1.86 ,,0.003
,1155,$178.65 ,"$2,143.80 ",0.155,$1.86 ,,0.003
,1160,$179.15 ,"$2,149.80 ",0.154,$1.85 ,,0.003
,1165,$179.65 ,"$2,155.80 ",0.154,$1.85 ,,0.003
,1170,$180.15 ,"$2,161.80 ",0.154,$1.85 ,,0.003
,1175,$180.65 ,"$2,167.80 ",0.154,$1.84 ,,0.003
,1180,$181.15 ,"$2,173.80 ",0.154,$1.84 ,,0.003
,1185,$181.65 ,"$2,179.80 ",0.153,$1.84 ,,0.003
,1190,$182.15 ,"$2,185.80 ",0.153,$1.84 ,,0.003
,1195,$182.65 ,"$2,191.80 ",0.153,$1.83 ,,0.003
,1200,$183.15 ,"$2,197.80 ",0.153,$1.83 ,,0.003
,1205,$183.65 ,"$2,203.80 ",0.152,$1.83 ,,0.003
,1210,$184.15 ,"$2,209.80 ",0.152,$1.83 ,,0.003
,1215,$184.65 ,"$2,215.80 ",0.152,$1.82 ,,0.003
,1220,$185.15 ,"$2,221.80 ",0.152,$1.82 ,,0.003
,1225,$185.65 ,"$2,227.80 ",0.152,$1.82 ,,0.003
,1230,$186.15 ,"$2,233.80 ",0.151,$1.82 ,,0.003
,1235,$186.65 ,"$2,239.80 ",0.151,$1.81 ,,0.002
,1240,$187.15 ,"$2,245.80 ",0.151,$1.81 ,,0.002
,1245,$187.65 ,"$2,251.80 ",0.151,$1.81 ,,0.002
,1250,$188.15 ,"$2,257.80 ",0.151,$1.81 ,,0.002
,1255,$188.65 ,"$2,263.80 ",0.150,$1.80 ,,0.002
,1260,$189.15 ,"$2,269.80 ",0.150,$1.80 ,,0.002
,1265,$189.65 ,"$2,275.80 ",0.150,$1.80 ,,0.002
,1270,$190.15 ,"$2,281.80 ",0.150,$1.80 ,,0.002
,1275,$190.65 ,"$2,287.80 ",0.150,$1.79 ,,0.002
,1280,$191.15 ,"$2,293.80 ",0.149,$1.79 ,,0.002
,1285,$191.65 ,"$2,299.80 ",0.149,$1.79 ,,0.002
,1290,$192.15 ,"$2,305.80 ",0.149,$1.79 ,,0.002
,1295,$192.65 ,"$2,311.80 ",0.149,$1.79 ,,0.002
,1300,$193.15 ,"$2,317.80 ",0.149,$1.78 ,,0.002
,1305,$193.65 ,"$2,323.80 ",0.148,$1.78 ,,0.002
,1310,$194.15 ,"$2,329.80 ",0.148,$1.78 ,,0.002
,1315,$194.65 ,"$2,335.80 ",0.148,$1.78 ,,0.002
,1320,$195.15 ,"$2,341.80 ",0.148,$1.77 ,,0.002
,1325,$195.65 ,"$2,347.80 ",0.148,$1.77 ,,0.002
,1330,$196.15 ,"$2,353.80 ",0.147,$1.77 ,,0.002
,1335,$196.65 ,"$2,359.80 ",0.147,$1.77 ,,0.002
,1340,$197.15 ,"$2,365.80 ",0.147,$1.77 ,,0.002
,1345,$197.65 ,"$2,371.80 ",0.147,$1.76 ,,0.002
,1350,$198.15 ,"$2,377.80 ",0.147,$1.76 ,,0.002
,1355,$198.65 ,"$2,383.80 ",0.147,$1.76 ,,0.002
,1360,$199.15 ,"$2,389.80 ",0.146,$1.76 ,,0.002
,1365,$199.65 ,"$2,395.80 ",0.146,$1.76 ,,0.002
,1370,$200.15 ,"$2,401.80 ",0.146,$1.75 ,,0.002
,1375,$200.65 ,"$2,407.80 ",0.146,$1.75 ,,0.002
,1380,$201.15 ,"$2,413.80 ",0.146,$1.75 ,,0.002
,1385,$201.65 ,"$2,419.80 ",0.146,$1.75 ,,0.002
,1390,$202.15 ,"$2,425.80 ",0.145,$1.75 ,,0.002
,1395,$202.65 ,"$2,431.80 ",0.145,$1.74 ,,0.002
,1400,$203.15 ,"$2,437.80 ",0.145,$1.74 ,,0.002
,1405,$203.65 ,"$2,443.80 ",0.145,$1.74 ,,0.002
,1410,$204.15 ,"$2,449.80 ",0.145,$1.74 ,,0.002
,1415,$204.65 ,"$2,455.80 ",0.145,$1.74 ,,0.002
,1420,$205.15 ,"$2,461.80 ",0.144,$1.73 ,,0.002
,1425,$205.65 ,"$2,467.80 ",0.144,$1.73 ,,0.002
,1430,$206.15 ,"$2,473.80 ",0.144,$1.73 ,,0.002
,1435,$206.65 ,"$2,479.80 ",0.144,$1.73 ,,0.002
,1440,$207.15 ,"$2,485.80 ",0.144,$1.73 ,,0.002
,1445,$207.65 ,"$2,491.80 ",0.144,$1.72 ,,0.002
,1450,$208.15 ,"$2,497.80 ",0.144,$1.72 ,,0.002
,1455,$208.65 ,"$2,503.80 ",0.143,$1.72 ,,0.002
,1460,$209.15 ,"$2,509.80 ",0.143,$1.72 ,,0.002
,1465,$209.65 ,"$2,515.80 ",0.143,$1.72 ,,0.002
,1470,$210.15 ,"$2,521.80 ",0.143,$1.72 ,,0.002
,1475,$210.65 ,"$2,527.80 ",0.143,$1.71 ,,0.002
,1480,$211.15 ,"$2,533.80 ",0.143,$1.71 ,,0.002
,1485,$211.65 ,"$2,539.80 ",0.143,$1.71 ,,0.002
,1490,$212.15 ,"$2,545.80 ",0.142,$1.71 ,,0.002
,1495,$212.65 ,"$2,551.80 ",0.142,$1.71 ,,0.002
,1500,$213.15 ,"$2,557.80 ",0.142,$1.71 ,,0.002
,1505,$213.65 ,"$2,563.80 ",0.142,$1.70 ,,0.002
,1510,$214.15 ,"$2,569.80 ",0.142,$1.70 ,,0.002
,1515,$214.65 ,"$2,575.80 ",0.142,$1.70 ,,0.002
,1520,$215.15 ,"$2,581.80 ",0.142,$1.70 ,,0.002
,1525,$215.65 ,"$2,587.80 ",0.141,$1.70 ,,0.002
,1530,$216.15 ,"$2,593.80 ",0.141,$1.70 ,,0.002
,1535,$216.65 ,"$2,599.80 ",0.141,$1.69 ,,0.002
,1540,$217.15 ,"$2,605.80 ",0.141,$1.69 ,,0.002
,1545,$217.65 ,"$2,611.80 ",0.141,$1.69 ,,0.002
,1550,$218.15 ,"$2,617.80 ",0.141,$1.69 ,,0.002
,1555,$218.65 ,"$2,623.80 ",0.141,$1.69 ,,0.002
,1560,$219.15 ,"$2,629.80 ",0.140,$1.69 ,,0.002
,1565,$219.65 ,"$2,635.80 ",0.140,$1.68 ,,0.002
,1570,$220.15 ,"$2,641.80 ",0.140,$1.68 ,,0.002
,1575,$220.65 ,"$2,647.80 ",0.140,$1.68 ,,0.002
,1580,$221.15 ,"$2,653.80 ",0.140,$1.68 ,,0.002
,1585,$221.65 ,"$2,659.80 ",0.140,$1.68 ,,0.002
,1590,$222.15 ,"$2,665.80 ",0.140,$1.68 ,,0.002
,1595,$222.65 ,"$2,671.80 ",0.140,$1.68 ,,0.001
,1600,$223.15 ,"$2,677.80 ",0.139,$1.67 ,,0.001
,1605,$223.65 ,"$2,683.80 ",0.139,$1.67 ,,0.001
,1610,$224.15 ,"$2,689.80 ",0.139,$1.67 ,,0.001
,1615,$224.65 ,"$2,695.80 ",0.139,$1.67 ,,0.001
,1620,$225.15 ,"$2,701.80 ",0.139,$1.67 ,,0.001
,1625,$225.65 ,"$2,707.80 ",0.139,$1.67 ,,0.001
,1630,$226.15 ,"$2,713.80 ",0.139,$1.66 ,,0.001
,1635,$226.65 ,"$2,719.80 ",0.139,$1.66 ,,0.001
,1640,$227.15 ,"$2,725.80 ",0.139,$1.66 ,,0.001
,1645,$227.65 ,"$2,731.80 ",0.138,$1.66 ,,0.001
,1650,$228.15 ,"$2,737.80 ",0.138,$1.66 ,,0.001
,1655,$228.65 ,"$2,743.80 ",0.138,$1.66 ,,0.001
,1660,$229.15 ,"$2,749.80 ",0.138,$1.66 ,,0.001
,1665,$229.65 ,"$2,755.80 ",0.138,$1.66 ,,0.001
,1670,$230.15 ,"$2,761.80 ",0.138,$1.65 ,,0.001
,1675,$230.65 ,"$2,767.80 ",0.138,$1.65 ,,0.001
,1680,$231.15 ,"$2,773.80 ",0.138,$1.65 ,,0.001
,1685,$231.65 ,"$2,779.80 ",0.137,$1.65 ,,0.001
,1690,$232.15 ,"$2,785.80 ",0.137,$1.65 ,,0.001
,1695,$232.65 ,"$2,791.80 ",0.137,$1.65 ,,0.001
,1700,$233.15 ,"$2,797.80 ",0.137,$1.65 ,,0.001
,1705,$233.65 ,"$2,803.80 ",0.137,$1.64 ,,0.001
,1710,$234.15 ,"$2,809.80 ",0.137,$1.64 ,,0.001
,1715,$234.65 ,"$2,815.80 ",0.137,$1.64 ,,0.001
,1720,$235.15 ,"$2,821.80 ",0.137,$1.64 ,,0.001
,1725,$235.65 ,"$2,827.80 ",0.137,$1.64 ,,0.001
,1730,$236.15 ,"$2,833.80 ",0.137,$1.64 ,,0.001
,1735,$236.65 ,"$2,839.80 ",0.136,$1.64 ,,0.001
,1740,$237.15 ,"$2,845.80 ",0.136,$1.64 ,,0.001
,1745,$237.65 ,"$2,851.80 ",0.136,$1.63 ,,0.001
,1750,$238.15 ,"$2,857.80 ",0.136,$1.63 ,,0.001
,1755,$238.65 ,"$2,863.80 ",0.136,$1.63 ,,0.001
,1760,$239.15 ,"$2,869.80 ",0.136,$1.63 ,,0.001
,1765,$239.65 ,"$2,875.80 ",0.136,$1.63 ,,0.001
,1770,$240.15 ,"$2,881.80 ",0.136,$1.63 ,,0.001
,1775,$240.65 ,"$2,887.80 ",0.136,$1.63 ,,0.001
,1780,$241.15 ,"$2,893.80 ",0.135,$1.63 ,,0.001
,1785,$241.65 ,"$2,899.80 ",0.135,$1.62 ,,0.001
,1790,$242.15 ,"$2,905.80 ",0.135,$1.62 ,,0.001
,1795,$242.65 ,"$2,911.80 ",0.135,$1.62 ,,0.001
,1800,$243.15 ,"$2,917.80 ",0.135,$1.62 ,,0.001
,1805,$243.65 ,"$2,923.80 ",0.135,$1.62 ,,0.001
,1810,$244.15 ,"$2,929.80 ",0.135,$1.62 ,,0.001
