Scales,,,,,,,,
Learning Goals -- students will be able to:,Skill,Concept,Game,L,P,Q,C,MENC - National Standards K-4
"Identify and ""play"" the lines and spaces of pentascales on the onscreen keyboard",A P,C Major pentascale - treble,Page Turner Keyboard 1,L,P,Q,,"5b, 2a"
,A P,C Major pentascale - bass,Page Turner Keyboard 2,L,P,Q,,"5b, 2a"
,,,,,,,,
,,,,,,,,
Intervals,,,,,,,,
Learning Goals -- students will be able to:,Skill,Concept,Game,L,P,Q,C,MENC - National Standards K-4
Identify intervals on the white keys of the piano keyboard,V,2nds-3rds-4ths-5ths,Will Work for Peanuts 1-Quiz,,,Q,,"5b, 2a, 6c"
Identify intervals on the staff,V,2nds and 3rds,Undersea Intervals 2-Quiz,,,Q,,"5b, 6c"
,V,2nds-3rds-4ths-5ths,Interval Surprise 1-Quiz,,,Q,,"5b, 6c"
Hear and play back intervals– pictorial presentation ,A,"2nds, 3rds, 4ths, and 5ths – same roots",Climbing High,L,P,Q,,6b
Identify melodic intervals,A,M2 and P5 – different roots  ,Catch the Coconut 1,L,P,Q,,6b
,A,M2 and M3 – different roots ,Catch the Coconut 2,L,P,Q,,6b
,A,"M2, M3, P5 – Same root  ",Catch the Coconut 3,L,P,Q,,6b
,A,"P4, P5 – different roots  ",Catch the Coconut 4,L,P,Q,,6b
,,,,,,,,
,,,,,,,,
Learning Goals -- students will be able to:,Skill,Concept,Game,L,P,Q,C,MENC - National Standards K-4
,,,,,,,,
,,,,,,,,
Music Symbols and Terms,,,,,,,,
Learning Goals -- students will be able to:,Skill,Concept,Game,L,P,Q,C,MENC - National Standards K-4
Identify music symbols and vocabulary,V,"treble clef, bass clef, piano, forte, quarter, half, dotted half and whole notes, 4/4 time signature, repeat sign",Music Darts 1,L,P,Q,,"5c, 6c"
,V,"above + flat, sharp, natural, 3/4 time signature, tied notes, mezzo piano, mezzo forte, quarter rest",Music Darts 2,L,P,Q,,"5c, 6c"
,,,,,,,,
,,,,,,,,
,,,,,,,,
Tonal Memory & Play Back,,,,,,,,
Learning Goals -- students will be able to:,Skill,Concept,Game,L,P,Q,C,MENC - National Standards K-4
Hear and play back pitch patterns starting with one tone and continuing as long as possible to at least six tones—pre-staff notation using solfege syllables. ,A P,5 pitches: Do - Re - Mi - Fa - Sol with Do on C,Songbirds 4,,P,Q,,"5b, 6b"
"Hear then play back pitch patterns of do-re-mi-sol and do-re-mi-fa-sol starting with one tone and progressing to at least six tones—solfege syllables on the staff with “do” on C, G and F.",A P,4 pitches: CDEG,Staff Birds 4,,P,Q,,"5b, 6b"
,A P,4 pitches: FGAC,Staff Birds 5,,P,Q,,"5b, 6b"
,A P,4 pitches: GABD,Staff Birds 6,,P,Q,,"5b, 6b"
,A P,5 pitches: GABCD,Staff Birds 7,,P,Q,,"5b, 6b"
,A P,5 pitches: CDEFG,Staff Birds 8,,P,Q,,"5b, 6b"
